0,1,0.183840546
0,2,0.01216893
0,3,0.012179421
1,1,0.251243394
1,2,0.026063347
1,3,0.028764851
2,1,0.296605244
2,2,0.070917333
2,3,0.072492566
3,1,0.780640161
3,2,0.109051328
3,3,0.109473589
4,1,1.408906428
4,2,0.726398279
4,3,0.723006728
5,1,1.753455764
5,2,0.872543709
5,3,0.917566638
6,1,0.159879512
6,2,0.012284283
6,3,0.012278442
7,1,0.23292362
7,2,0.02914171
7,3,0.030537147
8,1,2.098053411
8,2,0.867934474
8,3,0.917604499
9,1,2.432043107
9,2,0.985441877
9,3,0.995003998
10,1,0.883015366
10,2,0.145357252
10,3,0.139070941
11,1,1.077465337
11,2,0.153321687
11,3,0.160462581
12,1,1.915969766
12,2,0.806571732
12,3,0.76407761
13,1,3.462188515
13,2,1.004015436
13,3,1.003971456
14,1,1.80871526
14,2,0.697146528
14,3,0.70530854
15,1,1.611002522
15,2,0.865529063
15,3,0.86133633
16,1,3.846420431
16,2,1.707013455
16,3,1.727120159
17,1,3.776892793
17,2,1.696138807
17,3,1.717897248
18,1,6.071947413
18,2,3.210471102
18,3,3.262367566
19,1,0.402780271
19,2,0.061578148
19,3,0.059194664
20,1,17.194243804
20,2,0.829059104
20,3,0.826060463
21,1,19.084105249
21,2,0.90081153
21,3,0.935001075
22,1,23.049164476
22,2,1.173935898
22,3,1.155752375
23,1,59.012964383
23,2,55.172514085
23,3,53.736272902
24,1,2.370285504
24,2,0.198501883
24,3,0.198133323
25,1,1.33714915
25,2,0.149938436
25,3,0.149052063
26,1,2.442983598
26,2,0.19550443
26,3,0.20161606
27,1,17.087212648
27,2,1.201230957
27,3,1.202727355
28,1,15.932985908
28,2,9.789493766
28,3,9.505303712
29,1,0.618622758
29,2,0.387564316
29,3,0.38994642
30,1,2.921205342
30,2,0.628695238
30,3,0.618093464
31,1,5.992197953
31,2,0.703255376
31,3,0.720164518
32,1,5.357478737
32,2,3.322478413
32,3,3.37748166
33,1,17.357570063
33,2,3.425326525
33,3,3.438908558
34,1,17.354848548
34,2,3.546778595
34,3,3.508543508
35,1,1.35181886
35,2,1.070822447
35,3,1.017566182
36,1,0.347323538
36,2,0.114337131
36,3,0.120355052
37,1,0.29134518
37,2,0.05157445
37,3,0.052169356
38,1,0.278496006
38,2,0.05306609
38,3,0.051252812
39,1,0.488344873
39,2,0.24241526
39,3,0.232208337
40,1,0.279482492
40,2,0.03325678
40,3,0.033396154
41,1,0.262433216
41,2,0.031080957
41,3,0.030977366
42,1,0.266219274
42,2,0.028982622
42,3,0.02999566
